t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770739276.192174,0.219897,-0.345432,-0.142686,0.000000,-0.109941,-0.785057,0.000014,-0.000143,0.001314,-0.000000,-0.000015,-0.000341,0.040737,-0.009995,-0.000757,-0.107150,0.120838,-0.025490,-0.049708,-0.202843,-0.613380,-0.040737,0.009995,0.500757,-0.002671,0.000196,1.999239,0.002671,-0.000196,0.000761,0.004486,-0.002936,0.000686,0.000015,-0.009915,-0.001918,0.000014,-0.000143,0.001313,-0.000000,-0.000015,-0.000341
1770739306.192230,-0.251320,0.219931,-0.408571,-0.565487,-0.204215,0.093992,-0.000007,-0.000019,0.000164,-0.000000,0.000011,0.000256,0.026229,0.005001,-0.004084,-0.102836,0.092830,0.053741,-0.030499,-0.167464,-0.623415,-0.026229,-0.005001,0.504084,-0.003885,-0.007032,2.002970,0.003885,0.007032,-0.002970,0.013567,0.008631,-0.002810,-0.000041,0.005209,-0.008025,-0.000007,-0.000019,0.000164,-0.000000,0.000011,0.000255
1770739364.092189,-0.109924,0.643993,-0.360412,0.235619,-0.643988,-0.220321,-0.000032,0.000034,-0.000871,0.000000,-0.000039,0.000410,0.028329,0.009998,0.001321,-0.112446,0.097449,0.065146,-0.033115,0.159218,-0.665299,-0.028329,-0.009998,0.498679,0.000552,-0.000712,1.999660,-0.000552,0.000712,0.000340,-0.000285,0.001766,0.000393,0.000026,0.009910,0.002921,-0.000032,0.000034,-0.000870,0.000000,-0.000039,0.000409
1770739394.092191,-0.282746,0.015702,-0.204126,-0.345575,-0.392698,-0.675404,0.000002,0.000006,-0.000078,-0.000000,-0.000001,-0.000039,0.022808,-0.005089,-0.001876,-0.091686,0.101871,0.040916,-0.060379,0.116586,-0.657108,-0.022808,0.005089,0.501876,0.006256,0.000684,1.995897,-0.006256,-0.000684,0.004103,-0.011635,0.004721,0.004149,0.000019,-0.004997,-0.003862,0.000002,0.000006,-0.000078,-0.000000,-0.000001,-0.000039
1770739424.092263,0.377026,-0.455552,0.126100,0.706858,-1.115190,-0.204384,-0.000035,0.000021,-0.000437,0.000000,-0.000075,0.000181,0.047204,-0.001703,0.007758,-0.125492,0.127924,0.039806,-0.046916,0.098052,-0.653304,-0.047204,0.001703,0.492242,-0.002139,0.006796,1.998209,0.002139,-0.006796,0.001791,-0.002654,-0.014056,0.001123,-0.000026,-0.002431,0.015403,-0.000035,0.000021,-0.000436,0.000000,-0.000075,0.000181
1770739454.192157,-0.235645,0.675471,-0.502188,-0.345575,-0.895310,-0.612566,0.000026,-0.000029,-0.000467,-0.000000,-0.000044,-0.000044,0.028357,0.008885,-0.005327,-0.111445,0.096716,0.063571,-0.031231,0.172929,-0.667596,-0.028357,-0.008885,0.505327,-0.001372,-0.003954,2.007061,0.001372,0.003954,-0.007061,0.006161,0.005786,-0.006948,-0.000094,0.009175,-0.010388,0.000026,-0.000029,-0.000467,-0.000000,-0.000044,-0.000044
1770739484.192211,-0.345693,-0.330153,0.411640,-0.722566,-0.894937,0.205738,0.000118,0.000286,-0.003233,-0.000000,-0.000417,-0.001534,0.030792,0.004315,0.001058,-0.112409,0.106101,0.059143,-0.046040,0.196552,-0.676040,-0.030792,-0.004315,0.498942,0.001388,-0.000112,1.994157,-0.001388,0.000112,0.005843,-0.002302,0.001343,0.005891,0.000009,0.004243,0.002246,0.000117,0.000285,-0.003230,-0.000000,-0.000417,-0.001533
1770739526.192154,-0.581197,-0.188487,-0.691125,-0.157080,-1.507964,-0.502673,0.000002,-0.000009,-0.000025,0.000000,-0.000001,0.000018,0.009103,-0.010000,-0.003991,-0.063227,0.085557,0.037766,-0.068911,0.067362,-0.649500,-0.009103,0.010000,0.503991,0.005518,-0.003908,2.000316,-0.005518,0.003908,-0.000316,-0.005881,0.012164,-0.000264,0.000080,-0.009917,-0.008065,0.000002,-0.000009,-0.000025,0.000000,-0.000001,0.000018
1770739587.892213,-0.345664,0.596832,0.299854,-0.518363,-1.303652,0.723270,0.000089,0.000070,-0.001403,-0.000000,-0.000109,-0.000704,0.027454,0.009983,0.001932,-0.114110,0.099177,0.069209,-0.040065,0.250948,-0.693197,-0.027454,-0.009983,0.498068,-0.000472,0.001592,1.997961,0.000472,-0.001592,0.002039,-0.000671,-0.003300,0.001954,0.000038,0.009863,0.004132,0.000089,0.000070,-0.001402,-0.000000,-0.000109,-0.000703
1770739617.992208,-0.408415,-0.110025,0.314815,0.518363,-0.157094,0.769355,0.000008,0.000069,-0.000656,0.000000,0.000015,0.000335,0.011463,-0.007666,-0.006930,-0.070689,0.089142,0.040320,-0.067642,0.219212,-0.683830,-0.011463,0.007666,0.506930,0.008560,-0.000210,1.989498,-0.008560,0.000210,0.010502,-0.014829,0.008550,0.010477,0.000106,-0.007499,-0.013932,0.000008,0.000069,-0.000655,0.000000,0.000015,0.000335
1770739647.992218,0.345592,-0.392697,-0.094149,0.628319,-1.492239,-0.172797,-0.000017,-0.000002,-0.000099,0.000000,-0.000017,0.000010,0.045048,-0.007147,0.012011,-0.122368,0.131902,0.037758,-0.062050,0.178857,-0.670085,-0.045048,0.007147,0.487989,-0.001948,0.009103,1.999845,0.001948,-0.009103,0.000155,-0.005090,-0.017878,-0.000687,-0.000171,-0.008214,0.023652,-0.000017,-0.000002,-0.000099,0.000000,-0.000017,0.000010
